Biofluido,Metabolite,Metodo,Mean_ASICS,Mean_GS,Relative_Error_Pct,MAE,MSE
Urina,Glucose,FID,352.5169,306.08,15.17,268.6337,83263.4483
Urina,Glutamine,CSV,7125.3643,614.16,1060.18,6574.3303,98454710.5512
Urina,Glutamine,FID,1134.9711,614.16,84.8,630.3711,484925.9436
Urina,Glycine,CSV,19464.5099,1602.44,1114.68,18870.3899,1250688098.3978
Urina,Glycine,FID,1746.8828,1602.44,9.01,880.2028,939947.4444
Urina,Glycolate,CSV,12101.2027,571.3,2018.19,11529.9027,184502577.3204
Urina,Glycolate,FID,563.9776,571.3,1.28,717.1976,918140.2959
Urina,Hippurate,CSV,8132.2318,2076.52,291.63,6525.7087,63209426.2315
Urina,Hippurate,FID,1664.2967,2076.52,19.85,822.0334,926018.2129
Urina,Histidine,CSV,2388.5,1224.64,95.04,1204.2283,2047437.0548
Urina,Histidine,FID,655.6007,1224.64,46.47,975.3551,1104727.2401
Urina,Hypoxanthine,CSV,364.3995,62.48,483.23,305.3404,130238.6031
Urina,Hypoxanthine,FID,45.2686,62.48,27.55,65.1086,6298.9928
Urina,Isoleucine,CSV,506.1286,18.2,2680.93,487.9286,320433.2636
Urina,Isoleucine,FID,157.7222,18.2,766.61,143.5622,26459.3638
Urina,Lactate,CSV,4870.5926,27.24,17780.3,4843.3526,43221552.5844
Urina,Lactate,FID,90.5426,27.24,232.39,102.0226,34757.7804
Urina,Leucine,CSV,863.0692,53.32,1518.66,809.8235,1018611.746
Urina,Leucine,FID,152.5954,53.32,186.19,104.1554,13709.357
Urina,Lysine,CSV,3211.4908,166.28,1831.38,3051.6916,11785335.1712
Urina,Lysine,FID,206.3315,166.28,24.09,183.8115,70546.896
Urina,Malonate,CSV,950.5734,456.24,108.35,884.1334,1421716.0072
Urina,Malonate,FID,317.3705,456.24,30.44,274.0482,83323.1794
Urina,Methionine,CSV,1047.3028,36.34,2781.96,1031.4828,2968087.4077
Urina,Methionine,FID,30.7772,36.34,15.31,53.3572,4577.7728
Urina,Pantothenate,CSV,517.088,52.46,885.68,464.628,369968.0343
Urina,Pantothenate,FID,0.0,52.46,100.0,52.46,3017.842
Urina,Pyroglutamate,CSV,3860.63,251.98,1432.12,3622.9029,17587551.808
Urina,Pyroglutamate,FID,765.5465,251.98,203.81,572.4065,380557.4177
Urina,Pyruvate,CSV,268.7863,43.28,521.04,257.0946,101848.5146
Urina,Pyruvate,FID,0.0,43.28,100.0,43.28,2091.252
Urina,Serine,CSV,12962.0771,705.54,1737.19,12256.5371,261315711.6679
Urina,Serine,FID,770.1608,705.54,9.16,825.9408,936576.6505
Urina,Succinate,CSV,63.2181,37.32,69.39,77.1781,14921.0295
Urina,Succinate,FID,0.0,37.32,100.0,37.32,2322.276
Urina,Taurine,CSV,14537.4542,1106.24,1214.13,13431.2142,257833063.38
Urina,Taurine,FID,918.1634,1106.24,17.0,230.3296,73770.356
Urina,Threonine,CSV,1367.3333,328.3,316.49,1051.2179,1543648.4087
Urina,Threonine,FID,523.8667,328.3,59.57,234.8067,65796.9894
Urina,Trigonelline,CSV,1690.4039,631.68,167.6,1501.1604,7530537.6051
Urina,Trigonelline,FID,769.1199,631.68,21.76,274.2761,87584.7641
Urina,Tryptophan,CSV,2007.2502,69.24,2798.97,1938.0102,4784227.6894
Urina,Tryptophan,FID,398.8737,69.24,476.07,343.4337,153633.2767
Urina,Tyrosine,CSV,1013.7272,133.42,659.8,881.9829,1246536.8545
Urina,Tyrosine,FID,85.1383,133.42,36.19,106.7131,14101.2723
Urina,Uracil,CSV,9386.8845,101.94,9108.24,9284.9445,143140039.3272
Urina,Uracil,FID,1944.3583,101.94,1807.36,1842.4183,4642786.2143
Urina,Uridine,CSV,318.3639,20.68,1439.48,305.2439,158497.45
Urina,Uridine,FID,258.4276,20.68,1149.65,240.1076,75298.0079
Urina,Urocanate,CSV,896.3695,14.68,6006.06,881.6895,1412630.2742
Urina,Urocanate,FID,0.0,14.68,100.0,14.68,282.296
Urina,Valine,CSV,750.7428,53.62,1300.12,699.4457,1117096.8029
Urina,Valine,FID,60.168,53.62,12.21,63.668,4655.746
Urina,Xylitol,CSV,2515.4961,251.82,898.93,2263.6761,10437946.1177
Urina,Xylitol,FID,615.3274,251.82,144.35,499.292,327099.948
