Biofluido,Experiment,Metabolite,HMDB,Concentration_ASICS,Concentration_GS,Diferenca_Absoluta,Erro_Percentual
Soro,1_1H,DehydroAscorbate,,65.2061208038257,,,
Soro,1_1H,3-Methylxanthine,,66.837743882022,,,
Soro,1_1H,7-Methylxanthine,,67.3710838484975,,,
Soro,1_1H,CholineChloride,,68.1646700820944,,,
Soro,1_1H,Hypotaurine,,75.5006739164321,,,
Soro,1_1H,3-Methyl-L-Histidine,,76.7755286005286,,,
Soro,1_1H,Alanine,HMDB00161,78.2007721999727,101.6,23.39922780002729,23.03
Soro,1_1H,Isoleucine,HMDB00172,78.586025088064,15.6,62.986025088064004,403.76
Soro,1_1H,Spermidine,,80.4376880820859,,,
Soro,1_1H,Myo-Inositol,,82.2896495767378,,,
Soro,1_1H,Glycine,HMDB00123,86.8127783079011,102.1,15.287221692098896,14.97
Soro,1_1H,Phosphocholine,,92.9371633413705,,,
Soro,1_1H,PropyleneGlycol,,95.1440842527963,,,
Soro,1_1H,Arabitol,,98.0418594089706,,,
Soro,1_1H,5-AminoValerate,,103.412706490673,,,
Soro,1_1H,Putrescine,,104.819767101851,,,
Soro,1_1H,2-Oxoglutarate,HMDB00208,106.648190536928,2.9,103.74819053692799,3577.52
Soro,1_1H,Cadaverine,,110.689784143926,,,
Soro,1_1H,Citrate,HMDB00094,110.85042357888,28.0,82.85042357888,295.89
Soro,1_1H,3-Methyladipate,,111.656358814161,,,
Soro,1_1H,Valine,HMDB00883,114.146490245043,60.9,53.246490245043,87.43
Soro,1_1H,N-Acetylglycine,,115.736530330455,,,
Soro,1_1H,Threonine,HMDB00167,121.228738918653,33.0,88.228738918653,267.36
Soro,1_1H,3-Hydroxybutyrate,HMDB00357,137.095755851367,18.2,118.89575585136699,653.27
Soro,1_1H,4-HydroxyphenylAcetate,,153.537323322365,,,
Soro,1_1H,2-AminoAdipate,,163.010820631738,,,
Soro,1_1H,Dihydrothymine,,168.048060764475,,,
Soro,1_1H,Arginine,,174.923042476634,39.9,135.023042476634,338.4
Soro,1_1H,Mannose,,175.459757626102,19.1,156.359757626102,818.64
Soro,1_1H,Guanidinoacetate,,181.459653819165,,,
Soro,1_1H,Citrulline,,188.427559000315,,,
Soro,1_1H,Methylmalonate,,213.662818020665,,,
Soro,1_1H,Cystine,,224.430584630589,,,
Soro,1_1H,Ascorbate,,226.391290795812,,,
Soro,1_1H,Taurine,HMDB00251,226.429257914667,53.1,173.329257914667,326.42
