Biofluido,Experiment,Metabolite,HMDB,Concentration_ASICS,Concentration_GS
Soro,1_1H,Pyrocatechol,,4.30527376284056,
Soro,1_1H,Acetone,HMDB01659,4.10037267738615,2.8
Soro,1_1H,Fructose,HMDB00660,4.02485316016968,
Soro,1_1H,beta-Hydroxyisovalerate,,3.98845929691143,
Soro,1_1H,Trimethylamine,,3.71282990594555,
Soro,1_1H,N-Acetyl-L-Aspartate,,3.61215951612477,
Soro,1_1H,Carnosine,HMDB00033,3.55167354869461,
Soro,1_1H,Citraconate,,3.5444552432005,
Soro,1_1H,2-HydroxyphenylAcetate,,3.22839568289599,
Soro,1_1H,Long-chain_alkane,,2.91925860157586,
Soro,1_1H,Oxypurinol,,2.82295189420792,
Soro,1_1H,Acetate,HMDB00042,2.71431397187705,24.8
Soro,1_1H,Glutaconate,,2.43004324589594,
Soro,1_1H,Kynurenate,,2.427194799899,
Soro,1_1H,Isobutyrate,,2.22762096848615,
Soro,1_1H,Dimethylamine,HMDB00087,2.21983166131483,
Soro,1_1H,Formate,HMDB00142,2.09015733832056,2.7
Soro,1_1H,Pimelate,,1.99843323115525,
Soro,1_1H,Dimethylglycine,,1.76707934052687,
Soro,1_1H,dAMP,,1.61452179219807,
Soro,1_1H,Quinolinate,,1.48905196263439,
Soro,1_1H,Tartarate,,1.23789789161485,
Soro,1_1H,Tyrosine,HMDB00158,0.988427766715709,16.6
Soro,1_1H,Adenine,,0.970143421134985,
Soro,1_1H,Cytosine,,0.834544868454243,
Soro,1_1H,ATP,,0.789337562519016,
Soro,1_1H,Uridine,HMDB00296,0.696631043336979,
Soro,1_1H,2-Picolinate,,0.651665606634424,
Soro,1_1H,Sarcosine,,0.587809682404206,
Soro,1_1H,Nicotinurate,,0.373939926640473,
Soro,1_1H,Fumarate,,0.340253764253065,
Soro,1_1H,Hypoxanthine,HMDB00157,0.215230725324055,0.0
Soro,1_1H,D-Gluconate,,0.0,
Soro,1_1H,Levoglucosan,,0.0,
Soro,1_1H,Glucose-6-Phosphate,,0.0,
Soro,1_1H,Serine,HMDB00187,0.0,45.2
Soro,1_1H,Pyroglutamate,HMDB00267,0.0,
Soro,1_1H,Saccarate,,0.0,
Soro,1_1H,Methionine,HMDB00696,0.0,7.7
Soro,1_1H,Lactose,,0.0,
Soro,1_1H,2-Hydroxybutyrate,,0.0,10.4
Soro,1_1H,Ethanolamine,HMDB00149,0.0,
Soro,1_1H,S-Acetamidomethylcysteine,,0.0,
Soro,1_1H,Butyrate,HMDB00039,0.0,
Soro,1_1H,Glutathione-oxidized,,0.0,
Soro,1_1H,TMAO,,0.0,
Soro,1_1H,2-Deoxyadenosine,,0.0,
Soro,1_1H,Creatinine,HMDB00562,0.0,17.8
Soro,1_1H,CTP,,0.0,
Soro,1_1H,Urocanate,HMDB00301,0.0,
Soro,1_1H,Homovanillate,,0.0,
Soro,1_1H,Threonate,,0.0,
Soro,1_1H,2-Deoxycytidine,,0.0,
Soro,1_1H,N-(2-Furoyl)Glycine,,0.0,
Soro,1_1H,Asparagine,HMDB00168,0.0,13.2
Soro,1_1H,Levulinate,,0.0,
Soro,1_1H,Vanillate,,0.0,
Soro,1_1H,Allantoin,,0.0,
Soro,1_1H,Glycolate,HMDB00115,0.0,
Soro,1_1H,Histidine,HMDB00177,0.0,25.2
Soro,1_1H,Adenosine,,0.0,
Soro,1_1H,Nicotinate,,0.0,
Soro,1_1H,Malonate,HMDB00691,0.0,
Soro,1_1H,Glutathione-reduced,,0.0,
Soro,1_1H,GDP,,0.0,
Soro,1_1H,Inosine,,0.0,0.0
Soro,1_1H,Trigonelline,HMDB00875,0.0,
Soro,1_1H,NAD,,0.0,
Soro,1_1H,UDPG,,0.0,
Soro,1_1H,AMP,,0.0,
Soro,20_1H,Glucose,HMDB00122,6478.81665190145,1122.6
Soro,20_1H,Lactate,HMDB00190,5523.55319448869,719.1
Soro,20_1H,Glutamine,HMDB00641,1928.20923221238,140.6
Soro,20_1H,Glycerate,,2064.89644682155,
Soro,20_1H,Proline,,841.187765657753,60.3
Soro,20_1H,Glutamate,,819.942541987972,45.5
Soro,20_1H,2-Aminobutyrate,,532.216649411859,5.0
Soro,20_1H,Sorbitol,,351.129397698335,
Soro,20_1H,Lysine,HMDB00182,494.89023233393,51.1
Soro,20_1H,Galactitol,,78.7141691104697,
Soro,20_1H,Glycerol,,709.905040989798,117.8
Soro,20_1H,Methanol,,252.644623925101,41.9
Soro,20_1H,D-Glucuronate,,353.777487977755,
Soro,20_1H,Leucine,HMDB00687,632.875027645838,46.8
Soro,20_1H,Carnitine,HMDB00062,284.669485021802,16.1
Soro,20_1H,Xylitol,HMDB02917,346.693723431571,
Soro,20_1H,Taurine,HMDB00251,304.814401418308,40.0
Soro,20_1H,Ascorbate,,322.551301208091,
Soro,20_1H,Cystine,,443.223233314569,
Soro,20_1H,Methylmalonate,,42.9674547649084,
Soro,20_1H,Citrulline,,256.702166560404,
Soro,20_1H,Guanidinoacetate,,230.258862128021,
Soro,20_1H,Mannose,,399.746690981207,21.7
Soro,20_1H,Arginine,,1108.5246908635,58.9
Soro,20_1H,Dihydrothymine,,2.75172475403411,
Soro,20_1H,2-AminoAdipate,,146.049069485874,
Soro,20_1H,4-HydroxyphenylAcetate,,247.662170920265,
Soro,20_1H,3-Hydroxybutyrate,HMDB00357,369.045752879066,11.7
Soro,20_1H,Threonine,HMDB00167,424.429977910751,40.5
Soro,20_1H,N-Acetylglycine,,22.9067240967495,
Soro,20_1H,Valine,HMDB00883,692.098258305608,74.6
Soro,20_1H,3-Methyladipate,,146.144891719437,
Soro,20_1H,Citrate,HMDB00094,345.726102743116,41.2
Soro,20_1H,Cadaverine,,330.244806174151,
Soro,20_1H,2-Oxoglutarate,HMDB00208,0.0,2.5
Soro,20_1H,Putrescine,,101.223411789044,
Soro,20_1H,5-AminoValerate,,82.0272549463419,
Soro,20_1H,Arabitol,,0.0,
Soro,20_1H,PropyleneGlycol,,176.353793800731,
Soro,20_1H,Phosphocholine,,68.3955023531866,
Soro,20_1H,Glycine,HMDB00123,1035.15807112989,87.9
Soro,20_1H,Myo-Inositol,,23.3452154110593,
Soro,20_1H,Spermidine,,69.7037728368129,
Soro,20_1H,Isoleucine,HMDB00172,230.456649793519,22.7
Soro,20_1H,Alanine,HMDB00161,664.405527830335,131.6
Soro,20_1H,3-Methyl-L-Histidine,,59.2095895231033,
Soro,20_1H,Hypotaurine,,85.768090000024,
Soro,20_1H,CholineChloride,,316.41357180201,
Soro,20_1H,7-Methylxanthine,,51.8702351484298,
Soro,20_1H,3-Methylxanthine,,145.900949612609,
Soro,20_1H,DehydroAscorbate,,369.564037452305,
Soro,20_1H,Isocitrate,,3.78011397867619,
Soro,20_1H,Saturated_fattty_acids,,80.7604658501958,
Soro,20_1H,Pantothenate,HMDB00210,110.576137092318,
Soro,20_1H,trans-4-Hydroxy-L-Proline,,0.0,
Soro,20_1H,Ornithine,,270.464735655178,13.3
Soro,20_1H,Succinate,HMDB00254,0.0,2.8
Soro,20_1H,2-Propanol,,351.066207821876,
Soro,20_1H,Fucose,HMDB00174,109.605325886516,
Soro,20_1H,Aspartate,,54.6501974436865,10.1
Soro,20_1H,"1,3-Diaminopropane",,109.05111679054,
Soro,20_1H,GABA,,38.984867648213,
Soro,20_1H,Indoxylsulfate,,0.0,
Soro,20_1H,Glycogen,,332.45174145873,
Soro,20_1H,Galactose,,437.153420223248,
Soro,20_1H,Phenethylamine,,0.0,
Soro,20_1H,Tryptophan,HMDB00929,0.391167928483864,
Soro,20_1H,alpha-Hydroxyisobutyrate,,11.4056744268616,
Soro,20_1H,Pyruvate,HMDB00243,46.5860680954904,16.7
Soro,20_1H,Ethylmalonate,,47.836667091773,
Soro,20_1H,Glycerophosphocholine,,7.15935219139094,
Soro,20_1H,Uracil,HMDB00300,0.0,
Soro,20_1H,Valerate,,85.4014005532295,
Soro,20_1H,Maltose,,113.117072833784,
Soro,20_1H,Betaine,HMDB00043,381.794306369773,10.3
Soro,20_1H,Syringate,,0.0,
Soro,20_1H,Threitol,,695.052174035578,
Soro,20_1H,Hippurate,HMDB00714,1.75825350115474,
Soro,20_1H,Phenylalanine,,222.517471432824,26.4
Soro,20_1H,Adipate,,14.145038112692,
Soro,20_1H,2-Oxobutyrate,,1.23255726026797,
Soro,20_1H,Beta-Alanine,,62.200647695837,
Soro,20_1H,Sebacate,,52.2709314282637,
Soro,20_1H,4-EthylPhenol,,13.1782358112386,
Soro,20_1H,Benzoate,,0.0,0.0
Soro,20_1H,Trans-Acotinate,,20.326026975244,
Soro,20_1H,4-AminoHippurate,,2.99755723997052,
Soro,20_1H,3-PhenylPropionate,,28.4296720216205,
Soro,20_1H,Anserine,,6.20996988854796,
Soro,20_1H,Creatine,HMDB00064,9.19081643101349,6.0
Soro,20_1H,Isovalerate,,58.8729136628002,
Soro,20_1H,Mandelate,,16.0036327856012,
Soro,20_1H,Glutarate,,0.0,
Soro,20_1H,Phenylglyoxylate,,1.28892520209858,
Soro,20_1H,Acetoacetate,HMDB00060,15.7508387390301,0.9
Soro,20_1H,O-Acetyl-L-Carnitine,,42.3235092010227,
Soro,20_1H,Malate,,55.9304997109783,
Soro,20_1H,Dimethylsulfone,,19.023628389866,
Soro,20_1H,Acetaminophen,,0.246686620976212,
Soro,20_1H,Azelaic ate,,30.3762667072729,
Soro,20_1H,trans-Ferulate,,0.0,
Soro,20_1H,1-Methyl-L-Histidine,,0.0,
Soro,20_1H,Methylamine,,0.471423474158213,
Soro,20_1H,2-Oxoisovalerate,,72.2254788709029,
Soro,20_1H,Methylguanidine,,5.90696643897712,
Soro,20_1H,1-Methylhydantoin,,23.4889826149621,
Soro,20_1H,Propionate,,49.4292266017284,
Soro,20_1H,3-HydroxyphenylAcetate,,0.0,
Soro,20_1H,2-Methylglutarate,,64.6858081571862,
Soro,20_1H,Pyrocatechol,,0.0,
Soro,20_1H,Acetone,HMDB01659,6.65980703794609,1.6
Soro,20_1H,Fructose,HMDB00660,557.434630060092,
Soro,20_1H,beta-Hydroxyisovalerate,,16.7186037247094,
Soro,20_1H,Trimethylamine,,4.72442072653042,
Soro,20_1H,N-Acetyl-L-Aspartate,,8.39809563179789,
Soro,20_1H,Carnosine,HMDB00033,0.0,
Soro,20_1H,Citraconate,,28.1279812889012,
Soro,20_1H,2-HydroxyphenylAcetate,,0.499814982794753,
Soro,20_1H,Long-chain_alkane,,0.0,
Soro,20_1H,Oxypurinol,,0.0,
Soro,20_1H,Acetate,HMDB00042,0.0,7.0
Soro,20_1H,Glutaconate,,0.0,
Soro,20_1H,Kynurenate,,0.0,
Soro,20_1H,Isobutyrate,,30.7965559132711,
Soro,20_1H,Dimethylamine,HMDB00087,0.788995449139363,
Soro,20_1H,Formate,HMDB00142,31.7569176524342,2.8
Soro,20_1H,Pimelate,,0.0,
Soro,20_1H,Dimethylglycine,,1.95899654558534,
Soro,20_1H,dAMP,,4.2073294980037,
Soro,20_1H,Quinolinate,,0.60014191163376,
Soro,20_1H,Tartarate,,6.7659833734872,
Soro,20_1H,Tyrosine,HMDB00158,53.9648449847006,22.2
Soro,20_1H,Adenine,,1.29995365878588,
Soro,20_1H,Cytosine,,0.0,
Soro,20_1H,ATP,,0.0,
Soro,20_1H,Uridine,HMDB00296,0.0,
Soro,20_1H,2-Picolinate,,0.0,
Soro,20_1H,Sarcosine,,3.2123546441747,
Soro,20_1H,Nicotinurate,,0.0,
Soro,20_1H,Fumarate,,2.27564712820044,
Soro,20_1H,Hypoxanthine,HMDB00157,0.0871915649766997,2.8
Soro,20_1H,D-Gluconate,,397.571412408273,
Soro,20_1H,Levoglucosan,,329.210539331991,
Soro,20_1H,Glucose-6-Phosphate,,311.993959367496,
Soro,20_1H,Serine,HMDB00187,282.937671122384,56.3
Soro,20_1H,Pyroglutamate,HMDB00267,239.274719348445,
Soro,20_1H,Saccarate,,129.960702016084,
Soro,20_1H,Methionine,HMDB00696,91.0477531670682,6.7
Soro,20_1H,Lactose,,75.2323185313875,
Soro,20_1H,2-Hydroxybutyrate,,52.0155205298796,12.9
Soro,20_1H,Ethanolamine,HMDB00149,44.5874092566818,
Soro,20_1H,S-Acetamidomethylcysteine,,34.7295065647315,
Soro,20_1H,Butyrate,HMDB00039,17.7441846115718,
Soro,20_1H,Glutathione-oxidized,,11.7210161573522,
Soro,20_1H,TMAO,,8.43697191897127,
Soro,20_1H,2-Deoxyadenosine,,5.87673537512496,
Soro,20_1H,Creatinine,HMDB00562,4.81354790418786,14.8
Soro,20_1H,CTP,,0.804152538073377,
Soro,20_1H,Urocanate,HMDB00301,0.146449134409027,
Soro,20_1H,Homovanillate,,0.0,
Soro,20_1H,Threonate,,0.0,
Soro,20_1H,2-Deoxycytidine,,0.0,
Soro,20_1H,N-(2-Furoyl)Glycine,,0.0,
Soro,20_1H,Asparagine,HMDB00168,0.0,13.1
Soro,20_1H,Levulinate,,0.0,
Soro,20_1H,Vanillate,,0.0,
Soro,20_1H,Allantoin,,0.0,
Soro,20_1H,Glycolate,HMDB00115,0.0,
Soro,20_1H,Histidine,HMDB00177,0.0,29.9
Soro,20_1H,Adenosine,,0.0,
Soro,20_1H,Nicotinate,,0.0,
Soro,20_1H,Malonate,HMDB00691,0.0,
Soro,20_1H,Glutathione-reduced,,0.0,
Soro,20_1H,GDP,,0.0,
Soro,20_1H,Inosine,,0.0,0.0
Soro,20_1H,Trigonelline,HMDB00875,0.0,
Soro,20_1H,NAD,,0.0,
Soro,20_1H,UDPG,,0.0,
Soro,20_1H,AMP,,0.0,
Soro,2_1H,Glucose,HMDB00122,3988.62722283712,1268.9
Soro,2_1H,Lactate,HMDB00190,963.047325396193,602.6
Soro,2_1H,Glutamine,HMDB00641,825.810203870696,160.4
Soro,2_1H,Glycerate,,706.214028619876,
Soro,2_1H,Proline,,1443.8172389041,54.5
Soro,2_1H,Glutamate,,1043.12941394306,102.9
Soro,2_1H,2-Aminobutyrate,,511.618986280185,7.7
Soro,2_1H,Sorbitol,,772.562866525619,
Soro,2_1H,Lysine,HMDB00182,340.961275553769,43.0
Soro,2_1H,Galactitol,,417.235464786113,
Soro,2_1H,Glycerol,,363.192248057862,70.9
Soro,2_1H,Methanol,,317.634865145088,29.2
Soro,2_1H,D-Glucuronate,,212.477858859229,
Soro,2_1H,Leucine,HMDB00687,341.606311253449,39.7
Soro,2_1H,Carnitine,HMDB00062,271.648562473059,10.3
Soro,2_1H,Xylitol,HMDB02917,389.00806451391,
Soro,2_1H,Taurine,HMDB00251,522.736997992219,60.3
Soro,2_1H,Ascorbate,,257.864822570262,
Soro,2_1H,Cystine,,306.96031542954,
Soro,2_1H,Methylmalonate,,254.366496179616,
Soro,2_1H,Citrulline,,381.136970775157,
Soro,2_1H,Guanidinoacetate,,195.398988961761,
Soro,2_1H,Mannose,,165.22943229047,12.7
Soro,2_1H,Arginine,,359.674051923009,55.9
Soro,2_1H,Dihydrothymine,,288.206115731354,
Soro,2_1H,2-AminoAdipate,,257.515028432054,
Soro,2_1H,4-HydroxyphenylAcetate,,119.856559756343,
Soro,2_1H,3-Hydroxybutyrate,HMDB00357,301.032568665079,21.5
Soro,2_1H,Threonine,HMDB00167,109.632647704286,40.2
Soro,2_1H,N-Acetylglycine,,170.388417666219,
Soro,2_1H,Valine,HMDB00883,166.230275670977,63.7
Soro,2_1H,3-Methyladipate,,87.4307813919029,
Soro,2_1H,Citrate,HMDB00094,162.411861281146,37.7
Soro,2_1H,Cadaverine,,101.244897508383,
Soro,2_1H,2-Oxoglutarate,HMDB00208,0.0,3.0
Soro,2_1H,Putrescine,,149.937697835533,
Soro,2_1H,5-AminoValerate,,90.8104066740056,
Soro,2_1H,Arabitol,,123.393586184193,
Soro,2_1H,PropyleneGlycol,,305.779198077484,
Soro,2_1H,Phosphocholine,,0.0,
Soro,2_1H,Glycine,HMDB00123,102.700370440052,82.9
Soro,2_1H,Myo-Inositol,,131.80852540619,
Soro,2_1H,Spermidine,,135.273831668033,
Soro,2_1H,Isoleucine,HMDB00172,111.905817675998,20.4
Soro,2_1H,Alanine,HMDB00161,108.722219304315,115.4
Soro,2_1H,3-Methyl-L-Histidine,,77.4107161768969,
Soro,2_1H,Hypotaurine,,178.42387081579,
Soro,2_1H,CholineChloride,,205.162577972562,
Soro,2_1H,7-Methylxanthine,,73.1997876656155,
Soro,2_1H,3-Methylxanthine,,8.15333465262865,
Soro,2_1H,DehydroAscorbate,,0.0,
Soro,2_1H,Isocitrate,,68.7683197079991,
Soro,2_1H,Saturated_fattty_acids,,57.5845017754211,
Soro,2_1H,Pantothenate,HMDB00210,45.2887759462692,
Soro,2_1H,trans-4-Hydroxy-L-Proline,,0.0,
Soro,2_1H,Ornithine,,110.457185851026,13.1
Soro,2_1H,Succinate,HMDB00254,64.2946458908923,3.8
Soro,2_1H,2-Propanol,,267.913028138164,
Soro,2_1H,Fucose,HMDB00174,45.1084104021782,
Soro,2_1H,Aspartate,,131.462032144252,16.2
Soro,2_1H,"1,3-Diaminopropane",,29.1598107557427,
Soro,2_1H,GABA,,14.0540545745909,
Soro,2_1H,Indoxylsulfate,,28.9925076620802,
Soro,2_1H,Glycogen,,2.39813019436251,
Soro,2_1H,Galactose,,112.082246117082,
Soro,2_1H,Phenethylamine,,50.1061903913143,
Soro,2_1H,Tryptophan,HMDB00929,43.904876099993,
Soro,2_1H,alpha-Hydroxyisobutyrate,,51.8972066203455,
Soro,2_1H,Pyruvate,HMDB00243,95.8125993619449,16.2
Soro,2_1H,Ethylmalonate,,71.3239881021795,
Soro,2_1H,Glycerophosphocholine,,13.8240081202785,
Soro,2_1H,Uracil,HMDB00300,24.7833791703695,
Soro,2_1H,Valerate,,6.35052219843431,
Soro,2_1H,Maltose,,0.344159356473647,
Soro,2_1H,Betaine,HMDB00043,47.1912761182274,10.1
Soro,2_1H,Syringate,,9.53633514033869,
Soro,2_1H,Threitol,,15.6137699839602,
Soro,2_1H,Hippurate,HMDB00714,26.5030923676374,
Soro,2_1H,Phenylalanine,,91.0845440671331,23.7
Soro,2_1H,Adipate,,0.0,
Soro,2_1H,2-Oxobutyrate,,82.1509713780228,
Soro,2_1H,Beta-Alanine,,35.267568658535,
Soro,2_1H,Sebacate,,1.20459469109345,
Soro,2_1H,4-EthylPhenol,,23.309070246958,
Soro,2_1H,Benzoate,,44.5988092751409,10.9
Soro,2_1H,Trans-Acotinate,,213.41564450035,
Soro,2_1H,4-AminoHippurate,,16.9256781912394,
Soro,2_1H,3-PhenylPropionate,,38.0637317662394,
Soro,2_1H,Anserine,,50.5130132854341,
Soro,2_1H,Creatine,HMDB00064,31.9525820351608,7.2
Soro,2_1H,Isovalerate,,43.4426434351688,
Soro,2_1H,Mandelate,,11.6879911129935,
