Biofluido,Experiment,Metabolite,HMDB,Concentration_ASICS,Concentration_GS
Soro,2_1H,Hypoxanthine,HMDB00157,2.69799385458819,3.8
Soro,2_1H,D-Gluconate,,11.9933061772555,
Soro,2_1H,Levoglucosan,,0.0,
Soro,2_1H,Glucose-6-Phosphate,,172.999052030574,
Soro,2_1H,Serine,HMDB00187,96.1643327085275,66.5
Soro,2_1H,Pyroglutamate,HMDB00267,234.712129066333,
Soro,2_1H,Saccarate,,0.0,
Soro,2_1H,Methionine,HMDB00696,0.0,8.6
Soro,2_1H,Lactose,,125.881785577111,
Soro,2_1H,2-Hydroxybutyrate,,0.0,11.2
Soro,2_1H,Ethanolamine,HMDB00149,0.0,
Soro,2_1H,S-Acetamidomethylcysteine,,0.0,
Soro,2_1H,Butyrate,HMDB00039,4.12321398406028,
Soro,2_1H,Glutathione-oxidized,,0.0,
Soro,2_1H,TMAO,,0.0,
Soro,2_1H,2-Deoxyadenosine,,6.78407628423828,
Soro,2_1H,Creatinine,HMDB00562,0.0,20.4
Soro,2_1H,CTP,,0.0,
Soro,2_1H,Urocanate,HMDB00301,40.3784266838606,
Soro,2_1H,Homovanillate,,114.468225371939,
Soro,2_1H,Threonate,,79.0919534480374,
Soro,2_1H,2-Deoxycytidine,,62.2391491680323,
Soro,2_1H,N-(2-Furoyl)Glycine,,44.8508486402821,
Soro,2_1H,Asparagine,HMDB00168,33.8529443471131,15.0
Soro,2_1H,Levulinate,,27.5024519676201,
Soro,2_1H,Vanillate,,20.1622697248032,
Soro,2_1H,Allantoin,,14.9123241272784,
Soro,2_1H,Glycolate,HMDB00115,10.1156440099839,
Soro,2_1H,Histidine,HMDB00177,7.1389305574582,27.9
Soro,2_1H,Adenosine,,2.93480766410105,
Soro,2_1H,Nicotinate,,2.07661021833891,
Soro,2_1H,Malonate,HMDB00691,0.0,
Soro,2_1H,Glutathione-reduced,,0.0,
Soro,2_1H,GDP,,0.0,
Soro,2_1H,Inosine,,0.0,1.3
Soro,2_1H,Trigonelline,HMDB00875,0.0,
Soro,2_1H,NAD,,0.0,
Soro,2_1H,UDPG,,0.0,
Soro,2_1H,AMP,,0.0,
Soro,4_1H,Glucose,HMDB00122,3074.83595492353,1139.8
Soro,4_1H,Lactate,HMDB00190,794.628582076812,685.9
Soro,4_1H,Glutamine,HMDB00641,1087.34279845403,193.0
Soro,4_1H,Glycerate,,453.81377270723,
Soro,4_1H,Proline,,1289.95924123441,40.8
Soro,4_1H,Glutamate,,1109.65595018385,120.1
Soro,4_1H,2-Aminobutyrate,,479.846326217927,6.1
Soro,4_1H,Sorbitol,,462.779543830439,
Soro,4_1H,Lysine,HMDB00182,377.087297760392,54.0
Soro,4_1H,Galactitol,,306.775653463858,
Soro,4_1H,Glycerol,,191.617974930618,41.2
Soro,4_1H,Methanol,,270.289514083283,23.9
Soro,4_1H,D-Glucuronate,,213.870008240765,
Soro,4_1H,Leucine,HMDB00687,317.960603661962,43.2
Soro,4_1H,Carnitine,HMDB00062,236.951684711107,10.8
Soro,4_1H,Xylitol,HMDB02917,297.607242553416,
Soro,4_1H,Taurine,HMDB00251,284.518604361085,67.9
Soro,4_1H,Ascorbate,,11.9651549287613,
Soro,4_1H,Cystine,,203.741290611981,
Soro,4_1H,Methylmalonate,,245.766985570674,
Soro,4_1H,Citrulline,,206.361132177923,
Soro,4_1H,Guanidinoacetate,,119.411223231382,
Soro,4_1H,Mannose,,0.0,17.3
Soro,4_1H,Arginine,,302.561460126481,50.9
Soro,4_1H,Dihydrothymine,,257.920396009137,
Soro,4_1H,2-AminoAdipate,,276.782546162463,
Soro,4_1H,4-HydroxyphenylAcetate,,125.194910028596,
Soro,4_1H,3-Hydroxybutyrate,HMDB00357,72.835135496679,11.9
Soro,4_1H,Threonine,HMDB00167,149.090771497811,30.1
Soro,4_1H,N-Acetylglycine,,184.643653140514,
Soro,4_1H,Valine,HMDB00883,139.373346746287,77.0
Soro,4_1H,3-Methyladipate,,206.967131093044,
Soro,4_1H,Citrate,HMDB00094,124.71273902326,32.9
Soro,4_1H,Cadaverine,,102.339555070788,
Soro,4_1H,2-Oxoglutarate,HMDB00208,10.7019942173129,1.8
Soro,4_1H,Putrescine,,118.225968853605,
Soro,4_1H,5-AminoValerate,,92.504523407326,
Soro,4_1H,Arabitol,,91.0035906940801,
Soro,4_1H,PropyleneGlycol,,251.024794171113,
Soro,4_1H,Phosphocholine,,0.0,
Soro,4_1H,Glycine,HMDB00123,38.5879862442742,73.3
Soro,4_1H,Myo-Inositol,,77.6599613470831,
Soro,4_1H,Spermidine,,107.54075615961,
Soro,4_1H,Isoleucine,HMDB00172,88.097714769639,23.4
Soro,4_1H,Alanine,HMDB00161,134.051259665599,146.6
Soro,4_1H,3-Methyl-L-Histidine,,60.6267308966853,
Soro,4_1H,Hypotaurine,,198.25281319975,
Soro,4_1H,CholineChloride,,89.7214542806193,
Soro,4_1H,7-Methylxanthine,,48.5280919690624,
Soro,4_1H,3-Methylxanthine,,8.03089369689857,
Soro,4_1H,DehydroAscorbate,,29.3928258373908,
Soro,4_1H,Isocitrate,,124.959383590179,
Soro,4_1H,Saturated_fattty_acids,,52.1017244144528,
Soro,4_1H,Pantothenate,HMDB00210,21.8081361228415,
Soro,4_1H,trans-4-Hydroxy-L-Proline,,0.0,
Soro,4_1H,Ornithine,,90.063664883173,15.1
Soro,4_1H,Succinate,HMDB00254,66.8704169966809,4.1
Soro,4_1H,2-Propanol,,204.556013080304,
Soro,4_1H,Fucose,HMDB00174,78.173069380692,
Soro,4_1H,Aspartate,,138.375362618957,20.4
Soro,4_1H,"1,3-Diaminopropane",,10.8610431843051,
Soro,4_1H,GABA,,183.510243834758,
Soro,4_1H,Indoxylsulfate,,8.11835966216353,
Soro,4_1H,Glycogen,,6.95084116725477,
Soro,4_1H,Galactose,,0.0,
Soro,4_1H,Phenethylamine,,34.0043939676414,
Soro,4_1H,Tryptophan,HMDB00929,7.07674445377352,
Soro,4_1H,alpha-Hydroxyisobutyrate,,35.6656178632486,
Soro,4_1H,Pyruvate,HMDB00243,98.8082962135546,23.4
Soro,4_1H,Ethylmalonate,,71.4790468015194,
Soro,4_1H,Glycerophosphocholine,,25.3011387055064,
Soro,4_1H,Uracil,HMDB00300,0.0,
Soro,4_1H,Valerate,,47.8335368539165,
Soro,4_1H,Maltose,,5.0905794674783,
Soro,4_1H,Betaine,HMDB00043,35.1650651963496,13.7
Soro,4_1H,Syringate,,12.5108933303069,
Soro,4_1H,Threitol,,120.01385971097,
Soro,4_1H,Hippurate,HMDB00714,0.0,
Soro,4_1H,Phenylalanine,,50.4828224266488,23.9
Soro,4_1H,Adipate,,45.5492676949338,
Soro,4_1H,2-Oxobutyrate,,49.2846363125066,
Soro,4_1H,Beta-Alanine,,64.0451802928609,
Soro,4_1H,Sebacate,,56.7036704793847,
Soro,4_1H,4-EthylPhenol,,54.9581169771819,
Soro,4_1H,Benzoate,,6.70701383173709,8.4
Soro,4_1H,Trans-Acotinate,,110.282128961207,
Soro,4_1H,4-AminoHippurate,,0.0,
Soro,4_1H,3-PhenylPropionate,,42.582300529569,
Soro,4_1H,Anserine,,0.0,
Soro,4_1H,Creatine,HMDB00064,17.3213489218979,8.6
Soro,4_1H,Isovalerate,,29.3244866223422,
Soro,4_1H,Mandelate,,1.29134062242772,
Soro,4_1H,Glutarate,,33.2253468383539,
Soro,4_1H,Phenylglyoxylate,,0.875676570856861,
Soro,4_1H,Acetoacetate,HMDB00060,29.9573073408542,6.5
Soro,4_1H,O-Acetyl-L-Carnitine,,6.79040214493733,
Soro,4_1H,Malate,,3.42917243952556,
Soro,4_1H,Dimethylsulfone,,0.0,
Soro,4_1H,Acetaminophen,,8.38936190288441,
Soro,4_1H,Azelaic ate,,0.0,
Soro,4_1H,trans-Ferulate,,20.6175049279151,
Soro,4_1H,1-Methyl-L-Histidine,,1.86248862714395,
Soro,4_1H,Methylamine,,15.3359730206554,
Soro,4_1H,2-Oxoisovalerate,,45.0690808345994,
Soro,4_1H,Methylguanidine,,9.24295841443919,
Soro,4_1H,1-Methylhydantoin,,9.10837305149087,
Soro,4_1H,Propionate,,8.80446383400911,
Soro,4_1H,3-HydroxyphenylAcetate,,42.8035524869529,
Soro,4_1H,2-Methylglutarate,,2.989734771759,
Soro,4_1H,Pyrocatechol,,31.1506461386709,
Soro,4_1H,Acetone,HMDB01659,8.17650743966346,2.6
Soro,4_1H,Fructose,HMDB00660,33.0073007108618,
Soro,4_1H,beta-Hydroxyisovalerate,,9.41842116293139,
Soro,4_1H,Trimethylamine,,5.00555317869375,
Soro,4_1H,N-Acetyl-L-Aspartate,,108.882615567509,
Soro,4_1H,Carnosine,HMDB00033,0.0,
Soro,4_1H,Citraconate,,1.9133228685672,
Soro,4_1H,2-HydroxyphenylAcetate,,0.536551249083417,
Soro,4_1H,Long-chain_alkane,,5.55993934931185,
Soro,4_1H,Oxypurinol,,0.0,
Soro,4_1H,Acetate,HMDB00042,0.0,11.1
Soro,4_1H,Glutaconate,,1.81158512400478,
Soro,4_1H,Kynurenate,,0.0,
Soro,4_1H,Isobutyrate,,0.0978701565802391,
Soro,4_1H,Dimethylamine,HMDB00087,13.9892254848883,
Soro,4_1H,Formate,HMDB00142,33.3975689756628,8.7
Soro,4_1H,Pimelate,,0.0,
Soro,4_1H,Dimethylglycine,,5.66142177822034,
Soro,4_1H,dAMP,,0.0,
Soro,4_1H,Quinolinate,,1.66612726980548,
Soro,4_1H,Tartarate,,0.0,
Soro,4_1H,Tyrosine,HMDB00158,0.0,20.3
Soro,4_1H,Adenine,,0.452947061320414,
Soro,4_1H,Cytosine,,0.437838539000855,
Soro,4_1H,ATP,,0.0,
Soro,4_1H,Uridine,HMDB00296,0.0,
Soro,4_1H,2-Picolinate,,0.0,
Soro,4_1H,Sarcosine,,2.77917391688668,
Soro,4_1H,Nicotinurate,,0.787546565459362,
Soro,4_1H,Fumarate,,0.404400486065769,
Soro,4_1H,Hypoxanthine,HMDB00157,0.228617966663364,3.1
Soro,4_1H,D-Gluconate,,0.0,
Soro,4_1H,Levoglucosan,,0.0,
Soro,4_1H,Glucose-6-Phosphate,,0.0,
Soro,4_1H,Serine,HMDB00187,0.0,42.7
Soro,4_1H,Pyroglutamate,HMDB00267,126.571859165315,
Soro,4_1H,Saccarate,,0.0,
Soro,4_1H,Methionine,HMDB00696,0.0,13.2
Soro,4_1H,Lactose,,0.0,
Soro,4_1H,2-Hydroxybutyrate,,0.0,12.0
Soro,4_1H,Ethanolamine,HMDB00149,0.0,
Soro,4_1H,S-Acetamidomethylcysteine,,0.0,
Soro,4_1H,Butyrate,HMDB00039,0.0,
Soro,4_1H,Glutathione-oxidized,,8.94309781091248,
Soro,4_1H,TMAO,,0.0,
Soro,4_1H,2-Deoxyadenosine,,4.65932315571091,
Soro,4_1H,Creatinine,HMDB00562,0.0,19.8
Soro,4_1H,CTP,,0.0,
Soro,4_1H,Urocanate,HMDB00301,0.297691738027638,
Soro,4_1H,Homovanillate,,76.5334384913812,
Soro,4_1H,Threonate,,0.0,
Soro,4_1H,2-Deoxycytidine,,0.692269790699261,
Soro,4_1H,N-(2-Furoyl)Glycine,,0.0,
Soro,4_1H,Asparagine,HMDB00168,0.0,19.9
Soro,4_1H,Levulinate,,47.5209659303633,
Soro,4_1H,Vanillate,,5.89040390406571,
Soro,4_1H,Allantoin,,0.0,
Soro,4_1H,Glycolate,HMDB00115,14.2614692674974,
Soro,4_1H,Histidine,HMDB00177,0.0,23.6
Soro,4_1H,Adenosine,,0.0,
Soro,4_1H,Nicotinate,,1.67949493477038,
Soro,4_1H,Malonate,HMDB00691,43.8645083872004,
Soro,4_1H,Glutathione-reduced,,6.0373670787591,
Soro,4_1H,GDP,,1.67401784187264,
Soro,4_1H,Inosine,,1.62217388157429,1.9
Soro,4_1H,Trigonelline,HMDB00875,0.0,
Soro,4_1H,NAD,,0.0,
Soro,4_1H,UDPG,,0.0,
Soro,4_1H,AMP,,0.0,
Soro,5_1H,Glucose,HMDB00122,17432.9487855537,1410.4
Soro,5_1H,Lactate,HMDB00190,1582.86335938753,269.1
Soro,5_1H,Glutamine,HMDB00641,2992.72654812565,146.9
Soro,5_1H,Glycerate,,922.040709346765,
Soro,5_1H,Proline,,5036.82501668508,40.5
Soro,5_1H,Glutamate,,3662.33211047187,90.4
Soro,5_1H,2-Aminobutyrate,,1443.60859002624,5.8
Soro,5_1H,Sorbitol,,2397.37470841561,
Soro,5_1H,Lysine,HMDB00182,414.18639041036,37.9
Soro,5_1H,Galactitol,,1471.8806287583,
Soro,5_1H,Glycerol,,1519.68516545025,83.5
Soro,5_1H,Methanol,,1284.68279092095,29.0
Soro,5_1H,D-Glucuronate,,344.026086003763,
Soro,5_1H,Leucine,HMDB00687,960.871971335828,33.4
Soro,5_1H,Carnitine,HMDB00062,778.541866229155,10.0
Soro,5_1H,Xylitol,HMDB02917,1648.25337968819,
Soro,5_1H,Taurine,HMDB00251,1502.02055414952,53.1
Soro,5_1H,Ascorbate,,0.0,
Soro,5_1H,Cystine,,545.45079328639,
Soro,5_1H,Methylmalonate,,788.744198840817,
Soro,5_1H,Citrulline,,1242.5517566627,
Soro,5_1H,Guanidinoacetate,,550.065004640883,
Soro,5_1H,Mannose,,945.041917945723,19.1
Soro,5_1H,Arginine,,1743.2146063766,55.6
Soro,5_1H,Dihydrothymine,,1466.64537721609,
Soro,5_1H,2-AminoAdipate,,999.896128964968,
Soro,5_1H,4-HydroxyphenylAcetate,,323.924719743285,
Soro,5_1H,3-Hydroxybutyrate,HMDB00357,517.16552969605,39.3
Soro,5_1H,Threonine,HMDB00167,547.406345810997,33.0
Soro,5_1H,N-Acetylglycine,,983.551113039183,
Soro,5_1H,Valine,HMDB00883,607.975404247451,60.9
Soro,5_1H,3-Methyladipate,,290.943689092596,
Soro,5_1H,Citrate,HMDB00094,956.853278711355,47.6
Soro,5_1H,Cadaverine,,273.335733172571,
Soro,5_1H,2-Oxoglutarate,HMDB00208,134.265893015856,1.7
Soro,5_1H,Putrescine,,589.635547570947,
Soro,5_1H,5-AminoValerate,,194.319638087006,
Soro,5_1H,Arabitol,,306.763670029812,
Soro,5_1H,PropyleneGlycol,,913.888106072271,
Soro,5_1H,Phosphocholine,,153.10465795592,
Soro,5_1H,Glycine,HMDB00123,394.257715938437,55.6
Soro,5_1H,Myo-Inositol,,244.9405613919,
Soro,5_1H,Spermidine,,420.86743831461,
Soro,5_1H,Isoleucine,HMDB00172,295.415887165109,17.5
Soro,5_1H,Alanine,HMDB00161,322.902977833492,101.6
Soro,5_1H,3-Methyl-L-Histidine,,209.827692306004,
Soro,5_1H,Hypotaurine,,531.336087383751,
Soro,5_1H,CholineChloride,,344.234360358956,
Soro,5_1H,7-Methylxanthine,,113.531683838691,
Soro,5_1H,3-Methylxanthine,,75.4008614412822,
Soro,5_1H,DehydroAscorbate,,0.0,
Soro,5_1H,Isocitrate,,11.2649328012209,
Soro,5_1H,Saturated_fattty_acids,,18.9979035784042,
Soro,5_1H,Pantothenate,HMDB00210,218.595328676772,
Soro,5_1H,trans-4-Hydroxy-L-Proline,,0.0,
Soro,5_1H,Ornithine,,243.24581955316,6.7
Soro,5_1H,Succinate,HMDB00254,268.533571702517,1.4
Soro,5_1H,2-Propanol,,448.913491371277,
Soro,5_1H,Fucose,HMDB00174,72.9276328797815,
Soro,5_1H,Aspartate,,251.528191947724,10.3
Soro,5_1H,"1,3-Diaminopropane",,0.0,
Soro,5_1H,GABA,,231.305655071721,
Soro,5_1H,Indoxylsulfate,,52.3182387859585,
Soro,5_1H,Glycogen,,248.348079490287,
Soro,5_1H,Galactose,,0.0,
Soro,5_1H,Phenethylamine,,105.765062487381,
Soro,5_1H,Tryptophan,HMDB00929,20.8379822879128,
Soro,5_1H,alpha-Hydroxyisobutyrate,,161.036076201587,
Soro,5_1H,Pyruvate,HMDB00243,412.261025528231,16.9
Soro,5_1H,Ethylmalonate,,418.863606237321,
Soro,5_1H,Glycerophosphocholine,,7.3355375692291,
Soro,5_1H,Uracil,HMDB00300,19.1221663253153,
Soro,5_1H,Valerate,,152.769988566565,
Soro,5_1H,Maltose,,56.4178844786939,
Soro,5_1H,Betaine,HMDB00043,143.095865911131,20.1
Soro,5_1H,Syringate,,58.6726721204045,
Soro,5_1H,Threitol,,615.774151783517,
Soro,5_1H,Hippurate,HMDB00714,0.0075926084037296,
Soro,5_1H,Phenylalanine,,240.388787075734,19.4
Soro,5_1H,Adipate,,101.649635033952,
Soro,5_1H,2-Oxobutyrate,,182.709592603946,
Soro,5_1H,Beta-Alanine,,105.168099414844,
Soro,5_1H,Sebacate,,70.53631461797,
Soro,5_1H,4-EthylPhenol,,103.053968501102,
Soro,5_1H,Benzoate,,63.5033187235022,7.9
Soro,5_1H,Trans-Acotinate,,149.504470171922,
Soro,5_1H,4-AminoHippurate,,0.0,
Soro,5_1H,3-PhenylPropionate,,2.04638973753417,
Soro,5_1H,Anserine,,33.4310009280171,
Soro,5_1H,Creatine,HMDB00064,46.0127180009852,3.8
Soro,5_1H,Isovalerate,,105.370466620385,
Soro,5_1H,Mandelate,,19.9615901880252,
Soro,5_1H,Glutarate,,0.0,
Soro,5_1H,Phenylglyoxylate,,4.65935856087642,
Soro,5_1H,Acetoacetate,HMDB00060,114.674899243049,5.0
Soro,5_1H,O-Acetyl-L-Carnitine,,61.2256990704257,
Soro,5_1H,Malate,,13.3134913113222,
Soro,5_1H,Dimethylsulfone,,0.0,
Soro,5_1H,Acetaminophen,,9.78589456352337,
Soro,5_1H,Azelaic ate,,40.3795531022306,
Soro,5_1H,trans-Ferulate,,85.3206566590627,
Soro,5_1H,1-Methyl-L-Histidine,,3.05476232010793,
Soro,5_1H,Methylamine,,29.6876449569913,
Soro,5_1H,2-Oxoisovalerate,,73.4419726419822,
Soro,5_1H,Methylguanidine,,0.0,
Soro,5_1H,1-Methylhydantoin,,0.0,
Soro,5_1H,Propionate,,8.15287332072817,
Soro,5_1H,3-HydroxyphenylAcetate,,101.187644267364,
Soro,5_1H,2-Methylglutarate,,24.9645602555499,
Soro,5_1H,Pyrocatechol,,67.7431609156558,
Soro,5_1H,Acetone,HMDB01659,32.0616877447632,5.5
Soro,5_1H,Fructose,HMDB00660,0.0,
Soro,5_1H,beta-Hydroxyisovalerate,,0.0,
Soro,5_1H,Trimethylamine,,7.72521207542318,
Soro,5_1H,N-Acetyl-L-Aspartate,,1.9283959797182,
Soro,5_1H,Carnosine,HMDB00033,18.7103967534712,
Soro,5_1H,Citraconate,,3.8377322318641,
Soro,5_1H,2-HydroxyphenylAcetate,,39.1438637475317,
Soro,5_1H,Long-chain_alkane,,5.71885595761876,
Soro,5_1H,Oxypurinol,,20.510132470226,
Soro,5_1H,Acetate,HMDB00042,0.0,9.4
Soro,5_1H,Glutaconate,,125.764552763577,
Soro,5_1H,Kynurenate,,0.0,
Soro,5_1H,Isobutyrate,,0.0,
Soro,5_1H,Dimethylamine,HMDB00087,34.0991001616292,
Soro,5_1H,Formate,HMDB00142,93.9561369150373,4.8
Soro,5_1H,Pimelate,,0.0,
Soro,5_1H,Dimethylglycine,,3.74954138233903,
Soro,5_1H,dAMP,,7.70140981908436,
Soro,5_1H,Quinolinate,,1.93340642237608,
Soro,5_1H,Tartarate,,0.0,
Soro,5_1H,Tyrosine,HMDB00158,4.02264282203874,13.1
Soro,5_1H,Adenine,,9.39867788713304,
Soro,5_1H,Cytosine,,20.8671049292833,
Soro,5_1H,ATP,,0.0,
Soro,5_1H,Uridine,HMDB00296,0.0,
Soro,5_1H,2-Picolinate,,0.0,
Soro,5_1H,Sarcosine,,68.6013057716526,
Soro,5_1H,Nicotinurate,,0.0,
Soro,5_1H,Fumarate,,4.60771390997032,
Soro,5_1H,Hypoxanthine,HMDB00157,2.18308446808873,2.8
Soro,5_1H,D-Gluconate,,169.228393553127,
Soro,5_1H,Levoglucosan,,0.0,
Soro,5_1H,Glucose-6-Phosphate,,196.178733498933,
Soro,5_1H,Serine,HMDB00187,0.0,39.6
Soro,5_1H,Pyroglutamate,HMDB00267,18.5666894054111,
Soro,5_1H,Saccarate,,0.0,
Soro,5_1H,Methionine,HMDB00696,0.0,5.3
Soro,5_1H,Lactose,,185.482033132833,
Soro,5_1H,2-Hydroxybutyrate,,0.0,15.8
Soro,5_1H,Ethanolamine,HMDB00149,0.0,
Soro,5_1H,S-Acetamidomethylcysteine,,11.6987424546183,
Soro,5_1H,Butyrate,HMDB00039,0.0,
Soro,5_1H,Glutathione-oxidized,,1.32273140695902,
Soro,5_1H,TMAO,,0.0,
Soro,5_1H,2-Deoxyadenosine,,5.07875879384507,
Soro,5_1H,Creatinine,HMDB00562,0.0,17.8
Soro,5_1H,CTP,,0.0,
Soro,5_1H,Urocanate,HMDB00301,40.845400349276,
Soro,5_1H,Homovanillate,,126.902563142408,
Soro,5_1H,Threonate,,0.0,
Soro,5_1H,2-Deoxycytidine,,11.5081084420309,
Soro,5_1H,N-(2-Furoyl)Glycine,,14.8674834237234,
Soro,5_1H,Asparagine,HMDB00168,0.0,8.2
Soro,5_1H,Levulinate,,0.0,
Soro,5_1H,Vanillate,,49.2866038236192,
Soro,5_1H,Allantoin,,0.0,
Soro,5_1H,Glycolate,HMDB00115,0.0,
Soro,5_1H,Histidine,HMDB00177,0.0,25.0
Soro,5_1H,Adenosine,,0.0,
Soro,5_1H,Nicotinate,,0.860759613799439,
Soro,5_1H,Malonate,HMDB00691,32.3688544800635,
Soro,5_1H,Glutathione-reduced,,0.0,
Soro,5_1H,GDP,,0.0,
Soro,5_1H,Inosine,,2.16389009234072,3.4
Soro,5_1H,Trigonelline,HMDB00875,0.598338923571817,
Soro,5_1H,NAD,,0.570991477907098,
Soro,5_1H,UDPG,,0.347378685307956,
Soro,5_1H,AMP,,0.0,
Soro,6_1H,Glucose,HMDB00122,8720.86450472252,1182.6
Soro,6_1H,Lactate,HMDB00190,2449.74423957203,890.0
Soro,6_1H,Glutamine,HMDB00641,2401.94451231698,201.5
Soro,6_1H,Glycerate,,984.031633897595,
Soro,6_1H,Proline,,3306.45554637627,31.8
Soro,6_1H,Glutamate,,2434.30381671821,111.5
Soro,6_1H,2-Aminobutyrate,,963.549382457551,8.3
Soro,6_1H,Sorbitol,,1100.7017217201,
Soro,6_1H,Lysine,HMDB00182,835.077627490765,55.3
Soro,6_1H,Galactitol,,997.78327840847,
Soro,6_1H,Glycerol,,699.544073717286,70.9
Soro,6_1H,Methanol,,735.625362221217,37.2
Soro,6_1H,D-Glucuronate,,756.798164851639,
Soro,6_1H,Leucine,HMDB00687,691.988200452731,47.8
Soro,6_1H,Carnitine,HMDB00062,570.413516962467,12.4
Soro,6_1H,Xylitol,HMDB02917,664.597012125527,
Soro,6_1H,Taurine,HMDB00251,603.870477392906,53.1
Soro,6_1H,Ascorbate,,149.631963070989,
Soro,6_1H,Cystine,,592.028079912708,
Soro,6_1H,Methylmalonate,,857.596729433557,
Soro,6_1H,Citrulline,,529.013796649608,
Soro,6_1H,Guanidinoacetate,,360.55895927319,
Soro,6_1H,Mannose,,487.400748198474,19.1
Soro,6_1H,Arginine,,235.464782337157,35.5
Soro,6_1H,Dihydrothymine,,752.652740990926,
Soro,6_1H,2-AminoAdipate,,575.594835421981,
Soro,6_1H,4-HydroxyphenylAcetate,,266.29520770602,
Soro,6_1H,3-Hydroxybutyrate,HMDB00357,255.718561738396,29.6
Soro,6_1H,Threonine,HMDB00167,455.189431039578,40.9
Soro,6_1H,N-Acetylglycine,,704.023923285581,
Soro,6_1H,Valine,HMDB00883,377.868107533026,76.8
Soro,6_1H,3-Methyladipate,,278.420207253389,
Soro,6_1H,Citrate,HMDB00094,315.527285225148,30.0
Soro,6_1H,Cadaverine,,227.030130629313,
Soro,6_1H,2-Oxoglutarate,HMDB00208,197.596390320999,2.9
Soro,6_1H,Putrescine,,304.533055596456,
Soro,6_1H,5-AminoValerate,,208.616183115434,
Soro,6_1H,Arabitol,,0.0,
Soro,6_1H,PropyleneGlycol,,564.46848274513,
Soro,6_1H,Phosphocholine,,59.6532747175016,
Soro,6_1H,Glycine,HMDB00123,1445.32424830869,145.5
Soro,6_1H,Myo-Inositol,,123.494152468902,
Soro,6_1H,Spermidine,,0.0,
Soro,6_1H,Isoleucine,HMDB00172,255.649619813355,21.0
Soro,6_1H,Alanine,HMDB00161,223.406461144502,127.9
Soro,6_1H,3-Methyl-L-Histidine,,207.800542995954,
Soro,6_1H,Hypotaurine,,399.063705799139,
Soro,6_1H,CholineChloride,,437.695774226861,
Soro,6_1H,7-Methylxanthine,,196.632121432689,
Soro,6_1H,3-Methylxanthine,,7.32201946539638,
Soro,6_1H,DehydroAscorbate,,128.442448230514,
Soro,6_1H,Isocitrate,,264.571353155298,
Soro,6_1H,Saturated_fattty_acids,,179.668124024885,
Soro,6_1H,Pantothenate,HMDB00210,201.764502894631,
Soro,6_1H,trans-4-Hydroxy-L-Proline,,2.93676574910676,
Soro,6_1H,Ornithine,,524.971617307429,18.5
Soro,6_1H,Succinate,HMDB00254,175.191149161399,4.8
Soro,6_1H,2-Propanol,,169.21131378177,
Soro,6_1H,Fucose,HMDB00174,467.155599692858,
Soro,6_1H,Aspartate,,170.037546529587,17.3
Soro,6_1H,"1,3-Diaminopropane",,109.691932062609,
Soro,6_1H,GABA,,251.360686559109,
Soro,6_1H,Indoxylsulfate,,105.225054788769,
Soro,6_1H,Glycogen,,184.692119847702,
Soro,6_1H,Galactose,,57.6339404842055,
Soro,6_1H,Phenethylamine,,95.9215020980868,
Soro,6_1H,Tryptophan,HMDB00929,132.731903123035,
Soro,6_1H,alpha-Hydroxyisobutyrate,,105.199810080592,
Soro,6_1H,Pyruvate,HMDB00243,257.975633108152,31.8
Soro,6_1H,Ethylmalonate,,262.918643796832,
Soro,6_1H,Glycerophosphocholine,,2.74645838832087,
Soro,6_1H,Uracil,HMDB00300,33.6175069410479,
Soro,6_1H,Valerate,,90.2497461663803,
Soro,6_1H,Maltose,,17.3589780612099,
Soro,6_1H,Betaine,HMDB00043,54.0420729761339,7.2
Soro,6_1H,Syringate,,116.802399773958,
Soro,6_1H,Threitol,,172.412964324581,
Soro,6_1H,Hippurate,HMDB00714,47.3866125952484,
Soro,6_1H,Phenylalanine,,216.973750640168,27.5
Soro,6_1H,Adipate,,25.9466361742421,
Soro,6_1H,2-Oxobutyrate,,139.886322533807,
Soro,6_1H,Beta-Alanine,,84.6748954228388,
Soro,6_1H,Sebacate,,0.0,
Soro,6_1H,4-EthylPhenol,,106.64516654357,
Soro,6_1H,Benzoate,,97.7284319013504,8.9
Soro,6_1H,Trans-Acotinate,,173.827607109613,
Soro,6_1H,4-AminoHippurate,,58.800625542468,
Soro,6_1H,3-PhenylPropionate,,84.0179264154707,
Soro,6_1H,Anserine,,90.6910365355465,
Soro,6_1H,Creatine,HMDB00064,47.1564076901927,16.2
Soro,6_1H,Isovalerate,,136.955496852757,
Soro,6_1H,Mandelate,,27.7818750321144,
Soro,6_1H,Glutarate,,0.0,
Soro,6_1H,Phenylglyoxylate,,24.1001340110785,
Soro,6_1H,Acetoacetate,HMDB00060,83.6083579643582,6.0
Soro,6_1H,O-Acetyl-L-Carnitine,,20.2166703167977,
Soro,6_1H,Malate,,8.88424099507632,
Soro,6_1H,Dimethylsulfone,,24.9452791905903,
Soro,6_1H,Acetaminophen,,11.2936577353946,
Soro,6_1H,Azelaic ate,,0.0,
Soro,6_1H,trans-Ferulate,,47.5289939538348,
Soro,6_1H,1-Methyl-L-Histidine,,12.8724962514692,
Soro,6_1H,Methylamine,,15.4517402409989,
Soro,6_1H,2-Oxoisovalerate,,332.348552828798,
Soro,6_1H,Methylguanidine,,0.0,
Soro,6_1H,1-Methylhydantoin,,11.8886459039259,
